Sort_Order,Animal_ID,Year,Season,Departure_UTC,Arrival_UTC,Departure_Local,Arrival_Local,Flight_Duration_Hours,Stage,Overall_Duration_Days,Final_Destination,Departure_Site,Arrival_Site,Stay_Duration_Hours
1,MAGO_1A,2008,fall,8/7/2008 3:31,8/9/2008 14:53,8/6/2008 18:31,8/9/2008 6:53,59.36,S1,2.47,Y,ugashik,willapa,NA
2,MAGO_2A,2008,fall,7/20/2008 2:17,7/22/2008 4:37,7/19/2008 17:17,7/21/2008 20:37,50.33,S1,2.10,Y,ugashik,bodega,6854.67
3,MAGO_2A,2009,spring,5/3/2009 19:17,5/6/2009 0:19,5/3/2009 11:17,5/5/2009 15:19,53.02,N1,NA,N,bodega,controller,58.99
4,MAGO_2A,2009,spring,5/8/2009 11:18,5/9/2009 4:39,5/8/2009 2:18,5/8/2009 19:39,17.36,N2,NA,N,controller,wide,24.02
5,MAGO_2A,2009,spring,5/10/2009 4:41,5/10/2009 5:40,5/9/2009 19:41,5/9/2009 20:40,0.99,N3,6.43,Y,wide,ugashik,1607.72
6,MAGO_2A,2009,fall,7/16/2009 5:23,7/18/2009 16:38,7/15/2009 20:23,7/18/2009 8:38,59.24,S1,NA,N,ugashik,grays,2.83
7,MAGO_2A,2009,fall,7/18/2009 19:28,7/19/2009 7:41,7/18/2009 11:28,7/18/2009 23:41,12.22,S2,NA,N,grays,humboldt,90.48
8,MAGO_2A,2009,fall,7/23/2009 2:10,7/23/2009 7:16,7/22/2009 18:10,7/22/2009 23:16,5.10,S3,7.08,Y,humboldt,bodega,NA
9,MAGO_3D,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,MAGO_4Y,2008,fall,8/5/2008 20:43,8/10/2008 12:02,8/5/2008 11:43,8/10/2008 4:02,111.32,S1,4.64,Y,ugashik,sf_bay,NA
11,MAGO_6E,2008,fall,8/15/2008 3:45,8/18/2008 5:03,8/14/2008 18:45,8/17/2008 21:03,73.29,S1,3.05,Y,ugashik,humboldt,6092.61
12,MAGO_6E,2009,spring,4/29/2009 1:39,5/1/2009 6:25,4/28/2009 17:39,4/30/2009 21:25,52.75,N1,NA,N,humboldt,controller,97.41
13,MAGO_6E,2009,spring,5/5/2009 7:50,5/5/2009 23:22,5/4/2009 22:50,5/5/2009 14:22,15.55,N2,6.90,Y,controller,ugashik,1589.31
14,MAGO_6E,2009,fall,7/11/2009 4:41,7/13/2009 22:56,7/10/2009 19:41,7/13/2009 14:56,66.25,S1,2.76,Y,ugashik,humboldt,7071.98
15,MAGO_6E,2010,spring,5/4/2010 14:55,5/5/2010 1:55,5/4/2010 6:55,5/4/2010 17:55,11.00,N1,NA,N,humboldt,willapa_grays,268.41
16,MAGO_6E,2010,spring,5/16/2010 6:20,5/17/2010 23:29,5/15/2010 22:20,5/17/2010 14:29,41.15,N2,NA,N,willapa_grays,controller,41.42
17,MAGO_6E,2010,spring,5/19/2010 16:54,5/19/2010 17:48,5/19/2010 7:54,5/19/2010 8:48,0.91,N3,NA,N,controller,copper,56.89
18,MAGO_6E,2010,spring,5/22/2010 2:41,5/22/2010 17:16,5/21/2010 17:41,5/22/2010 8:16,14.58,N4,18.10,Y,copper,ugashik,1749.31
19,MAGO_6E,2010,fall,8/3/2010 14:35,8/6/2010 23:13,8/3/2010 5:35,8/6/2010 15:13,80.63,S1,3.36,Y,ugashik,humboldt,6256.88
20,MAGO_6E,2011,spring,4/24/2011 16:06,4/25/2011 4:43,4/24/2011 8:06,4/24/2011 20:43,12.63,N1,NA,N,humboldt,grays,93.64
21,MAGO_6E,2011,spring,4/29/2011 2:22,5/1/2011 0:01,4/28/2011 18:22,4/30/2011 15:01,45.66,N2,NA,N,grays,controller,81.20
22,MAGO_6E,2011,spring,5/4/2011 9:13,5/4/2011 23:03,5/4/2011 0:13,5/4/2011 14:03,13.83,N3,10.29,Y,controller,ugashik,2063.36
23,MAGO_6E,2011,fall,7/29/2011 22:24,8/1/2011 3:11,7/29/2011 13:24,7/31/2011 19:11,52.77,S1,2.20,Y,ugashik,humboldt,6478.35
24,MAGO_6E,2012,spring,4/27/2012 1:32,4/27/2012 12:42,4/26/2012 17:32,4/27/2012 4:42,11.16,N1,NA,N,humboldt,grays,179.91
25,MAGO_6E,2012,spring,5/5/2012 0:36,5/6/2012 12:02,5/4/2012 16:36,5/6/2012 3:02,35.43,N2,NA,N,grays,controller,28.93
26,MAGO_6E,2012,spring,5/7/2012 16:58,5/8/2012 8:33,5/7/2012 7:58,5/7/2012 23:33,15.59,N3,11.29,Y,controller,ugashik,1651.11
27,MAGO_6E,2012,fall,7/16/2012 3:39,7/18/2012 8:14,7/15/2012 18:39,7/18/2012 0:14,52.59,S1,2.19,Y,ugashik,humboldt,6572.79
28,MAGO_6E,2013,spring,4/18/2013 5:02,4/18/2013 17:47,4/17/2013 21:02,4/18/2013 9:47,12.76,N1,NA,N,humboldt,grays,325.60
29,MAGO_6E,2013,spring,5/2/2013 7:23,5/3/2013 16:32,5/1/2013 23:23,5/3/2013 7:32,33.15,N2,NA,N,grays,yak_alsek,102.26
